type,list,answer
fruits,"['grater', 'mango', 'peach', 'apricot', 'papaya', 'scooter', 'skimmer', 'czech']",4
vehicles,"['elephant', 'norwegian', 'skimmer', 'rice paddle']",0
utensils,"['tram', 'truck', 'grater', 'masher', 'guava']",2
musical instruments,"['masher', 'zester', 'violin', 'vietnamese', 'lychee']",1
musical instruments,"['cleaver', 'banjo', 'mandolin', 'jeep', 'bicycle', 'marimba']",3
vehicles,"['kangaroo', 'banjo', 'bulldozer', 'buffalo', 'convertible', 'ferry']",3
musical instruments,"['maori', 'measuring cup', 'harp', 'minivan']",1
animals,"['violin', 'skimmer', 'motorcycle', 'otter', 'date']",1
musical instruments,"['xylophone', 'piccolo', 'turkish', 'sitar', 'melon', 'tambourine']",4
animals,"['bengali', 'thai', 'tambourine', 'skimmer']",0
vehicles,"['maori', 'motorcycle', 'persian', 'rolling pin', 'truck', 'date', 'jeep']",3
musical instruments,"['pomegranate', 'leopard', 'plum', 'mango']",0
utensils,"['cleaver', 'rambutan', 'date', 'tagalog']",1
vehicles,"['guava', 'jaguar', 'xylophone', 'gondola', 'raccoon']",1
utensils,"['ferry', 'spatula', 'peeler', 'elephant']",2
vehicles,"['alpaca', 'thai', 'minivan', 'convertible', 'accordion', 'yoruba']",2
utensils,"['banana', 'bassoon', 'harp', 'cleaver']",1
vehicles,"['strainer', 'bicycle', 'norwegian', 'lychee', 'van', 'ambulance', 'thai', 'minivan']",4
animals,"['greek', 'bulldozer', 'skimmer', 'otter', 'chameleon']",2
fruits,"['mango', 'rolling pin', 'leopard', 'strainer', 'zester']",1
musical instruments,"['walrus', 'yoruba', 'sitar', 'tuba', 'cello', 'oboe']",4
musical instruments,"['violin', 'gondola', 'tambourine', 'bassoon']",3
vehicles,"['strainer', 'buffalo', 'trombone', 'banana']",0
languages,"['hindi', 'date', 'masher', 'baster']",1
utensils,"['swahili', 'paring knife', 'measuring cup', 'banjo', 'masher', 'pear', 'lute']",3
animals,"['bus', 'tram', 'raccoon', 'fig', 'paring knife']",1
utensils,"['jeep', 'strainer', 'cleaver', 'date', 'rolling pin', 'bicycle']",3
utensils,"['skimmer', 'didgeridoo', 'banana', 'badger', 'slotted spoon', 'finnish']",2
fruits,"['sitar', 'chameleon', 'paring knife', 'meat tenderizer', 'pomegranate', 'apple']",2
animals,"['didgeridoo', 'orange', 'xylophone', 'penguin']",1
fruits,"['panther', 'skimmer', 'spatula', 'pear', 'plum', 'grape', 'melon']",4
fruits,"['fig', 'banana', 'orange', 'thai', 'finnish', 'lychee', 'paring knife']",4
fruits,"['sedan', 'date', 'melon', 'finnish', 'fig', 'trolley']",3
utensils,"['bus', 'yoruba', 'subway', 'czech']",0
musical instruments,"['measuring cup', 'hindi', 'vietnamese', 'finnish']",0
utensils,"['meat tenderizer', 'koala', 'spatula', 'papaya', 'strainer', 'motorcycle']",3
vehicles,"['gondola', 'scooter', 'tram', 'otter']",3
vehicles,"['banana', 'sedan', 'bulldozer', 'bus']",3
animals,"['penguin', 'mango', 'raccoon', 'otter']",3
utensils,"['giraffe', 'tongs', 'yoruba', 'mandolin', 'strainer', 'turkish']",2
animals,"['guava', 'sedan', 'violin', 'kiwi']",0
vehicles,"['spaceship', 'bicycle', 'hindi', 'meat tenderizer', 'ambulance', 'bulldozer']",4
vehicles,"['bicycle', 'convertible', 'czech', 'rambutan', 'subway']",3
languages,"['guava', 'alpaca', 'van', 'bus']",0
vehicles,"['piccolo', 'minivan', 'marimba', 'grape', 'bicycle']",2
fruits,"['orange', 'pomegranate', 'guava', 'lychee', 'vietnamese', 'ambulance', 'hindi', 'tongs']",4
utensils,"['hebrew', 'mango', 'pear', 'raccoon']",0
animals,"['whisk', 'trombone', 'raccoon', 'apple']",1
